date,burnt out,mental breakdown,can't focus,cannot focus,overwhelmed,lose my mind,losing my mindpanic attacks,feel like a failure,am a failure,cried,losing motivation,hate my major,why am i even doing this?,college has been horrible,depressed,hate myself,i'm cooked,am cooked,need to lock in,can't lock in,cannot lock in,overthinking,stressed,worried,disappointed in myself,feeling overwhelmed,withdraw,am panicking,aimlessness,wasted all my potential,wasted my time,so exhausted,feel exhausted,am exhausted,failing classes,barely passing,not going to graduate,wont graduate,won't graduatekilling me,falling behindbehind in school,behind in my classes,behind in all my classes,struggling to keep up,too many assignments,dropped out,can't pass,retaking a class,low grades,how am i going to survive,college lies,flunking,struggling with math,hate math,hard class,don't understand,screw over,screwed over,i'm screwed,nothing is clicking,don't get it,difficult exam,placed in wrong class,debt,struggle to learn,failed a class,behind on all my work,behind on my work,behind on work,in debt,no advisor helped me,bad advising,school won’t let me,can’t afford,financial hold,withdrew from,academic probation,took a gap semester,course recovery,transfer schools,going back to school,i feel dumb,i'm not smart enough,wish i could redo it,hopeless,no hope,sm anxiety,worrying about,have anxiety
2025-08-15,14,1,4,0,19,0,0,4,0,7,0,0,0,0,27,7,1,3,0,0,0,18,35,122,2,2,11,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,4,0,2,4,13,0,0,0,0,0,0,0,36,0,1,0,0,0,8,0,0,0,8,1,0,2,0,0,1,7,1,0,0,10,0,0,8,3
2025-08-16,15,1,4,0,24,0,0,5,0,6,0,0,0,0,27,6,0,3,0,0,0,21,33,116,2,3,12,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,15,1,0,0,0,0,4,0,2,5,11,0,0,0,0,0,0,0,31,0,1,0,0,0,6,0,0,0,6,1,0,2,0,0,0,7,1,0,0,10,0,0,7,3
2025-08-17,16,1,4,0,24,0,0,5,0,5,0,0,0,0,34,5,0,2,0,0,0,20,33,115,2,4,11,0,0,0,0,1,2,0,1,2,0,0,0,0,0,0,1,0,13,0,0,1,0,0,4,0,2,5,8,0,0,0,0,0,0,0,36,0,1,0,0,0,7,0,0,0,8,1,0,1,0,0,0,6,1,0,0,11,0,0,6,2
2025-08-18,13,1,1,1,24,0,0,6,0,5,0,0,0,0,36,4,0,2,0,0,0,20,30,113,1,4,11,0,0,0,0,1,2,0,2,2,0,0,0,0,0,0,1,0,12,0,0,1,0,0,3,0,3,5,7,0,0,0,0,1,0,0,38,0,1,0,0,0,8,0,0,0,10,1,0,1,0,0,0,3,0,0,0,12,0,0,5,2
2025-08-19,14,1,1,1,27,0,0,5,0,4,0,0,0,0,37,3,0,2,0,0,0,21,29,106,0,4,8,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,1,0,12,0,0,1,0,0,2,0,2,4,5,0,0,0,0,2,0,0,36,0,2,0,0,0,4,0,0,0,10,1,0,1,0,0,0,4,0,0,0,13,0,0,5,2
2025-08-20,11,2,0,1,31,0,0,2,0,5,0,0,0,0,34,4,1,1,0,0,0,22,35,109,1,5,10,0,0,0,0,1,2,0,2,2,0,0,0,0,0,0,1,0,11,0,0,1,0,0,1,0,2,4,6,0,2,0,0,2,0,0,35,0,2,0,0,0,7,0,0,0,12,1,0,0,0,0,0,3,1,0,0,12,0,0,2,3
2025-08-21,11,3,0,1,34,0,0,4,0,5,0,0,0,0,36,4,1,1,0,0,0,22,36,113,1,6,9,0,0,0,0,1,2,0,2,2,0,0,0,0,0,0,1,0,11,0,0,1,0,0,0,0,2,4,4,0,2,0,0,2,0,0,32,0,2,0,0,0,6,0,0,0,12,1,0,1,0,0,0,5,1,0,0,11,1,0,3,3
2025-08-22,11,3,0,2,32,0,0,6,0,9,0,0,0,0,42,3,1,1,0,0,0,20,39,111,2,6,9,0,0,0,0,1,4,1,2,2,0,0,0,0,0,0,2,0,13,0,0,1,0,0,0,1,1,4,6,0,2,0,0,2,0,0,36,0,1,0,0,0,8,0,0,0,14,0,0,1,0,0,0,8,1,0,0,10,2,0,4,3
2025-08-23,9,2,0,2,30,0,0,5,0,8,0,0,0,0,41,4,1,1,0,0,0,17,37,108,2,4,10,0,0,0,0,1,4,1,1,1,0,0,0,0,0,0,1,0,15,0,0,1,0,0,0,1,1,3,11,0,3,0,0,3,0,0,38,0,1,0,0,0,10,0,0,0,14,0,0,1,0,0,0,8,1,0,0,8,2,0,7,3
2025-08-25,12,2,1,1,33,0,0,4,1,8,0,0,0,0,30,4,1,1,0,0,0,17,35,98,2,5,11,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,1,0,15,0,0,0,0,0,0,1,0,3,12,0,3,0,0,2,0,0,36,0,1,0,0,0,8,0,0,0,11,0,0,1,0,0,0,10,1,0,0,7,3,0,6,3
2025-08-26,12,2,1,1,34,0,0,4,1,11,0,0,0,0,29,3,1,0,0,0,0,17,35,102,3,4,11,0,0,0,3,1,3,3,0,0,0,0,0,0,0,0,1,0,18,0,0,0,0,0,0,1,0,2,14,0,3,0,0,2,0,0,36,0,0,0,0,0,9,0,0,0,14,0,0,1,0,0,1,12,1,0,0,8,3,0,6,3
